1,1 ,5
2,2 ,1
3,3 ,1
4,4 ,1
5,5 ,6
6,6 ,1
7,7 ,5
8,8 ,5
9,9 ,10
10,10 ,11
11,11 ,12
12,12 ,13
13,13 ,14
14,14 ,16
15,15 ,19
16,16 ,14
17,17 ,15
18,18 ,15
19,19 ,32
23,23 ,68
24,24 ,67
25,25 ,23
27,27 ,41
28,28 ,33
29,29 ,19
30,30 ,62
33,33 ,35
34,34 ,15
35,35 ,33
36,36 ,39
37,37 ,36
38,38 ,37
39,39 ,36
41,41 ,59
42,42 ,42
43,43 ,42
44,44 ,82
45,45 ,43
46,46 ,45
47,47 ,45
48,48 ,44
49,49 ,51
50,50 ,49
51,51 ,49
52,52 ,55
53,53 ,51
54,54 ,53
55,55 ,52
56,56 ,55
57,57 ,83
58,58 ,57
60,60 ,62
61,61 ,62
62,62 ,60
63,63 ,62
64,64 ,65
65,65 ,71
66,66 ,67
67,67 ,23
68,68 ,65
69,69 ,109
70,70 ,71
71,71 ,110
72,72 ,73
73,73 ,72
74,74 ,121
75,75 ,77
76,76 ,75
77,77 ,78
78,78 ,77
80,80 ,80
81,81 ,80
82,82 ,44
83,83 ,85
84,84 ,83
85,85 ,83
86,86 ,52
87,87 ,45
88,88 ,92
91,91 ,95
92,92 ,94
93,93 ,92
94,94 ,92
95,95 ,91
96,96 ,66
97,97 ,72
98,98 ,99
99,99 ,100
100,100 ,101
101,101 ,100
102,102 ,103
103,103 ,102
104,104 ,103
105,105 ,104
106,106 ,65
107,107 ,139
108,108 ,106
109,109 ,113
110,110 ,71
111,111 ,70
112,112 ,132
113,113 ,109
114,114 ,84
115,115 ,116
116,116 ,115
117,117 ,118
118,118 ,117
119,119 ,69
120,120 ,69
121,121 ,74
122,122 ,123
123,123 ,122
124,124 ,125
125,125 ,126
126,126 ,125
127,127 ,125
128,128 ,124
129,129 ,128
130,130 ,129
131,131 ,138
132,132 ,133
133,133 ,137
134,134 ,131
135,135 ,107
136,136 ,112
137,137 ,136
138,138 ,135
139,139 ,134
140,140 ,112
